Route_State,Avg_Lead_Time,Median_Lead_Time,Lead_Time_Std,Route_Volume,Total_Sales,Total_Units,Total_Gross_Profit,Avg_Profit_Margin,Delay_Frequency_%,Route_Efficiency_Score
Lot's O' Nuts → California,1316.91,1274.0,265.37,1125,15044.9,4221,10401.0,69.18,100.0,44.17
Wicked Choccy's → California,1320.33,1274.0,262.5,823,11394.0,3266,7421.32,65.13,100.0,43.71
Lot's O' Nuts → New York,1330.52,1274.0,249.26,645,8757.81,2455,6055.01,69.13,100.0,42.32
Lot's O' Nuts → Texas,1310.46,1273.0,260.34,569,7642.34,2142,5278.34,69.15,100.0,45.05
Wicked Choccy's → New York,1311.88,1274.0,245.01,436,5518.25,1583,3594.11,65.11,100.0,44.85
Wicked Choccy's → Texas,1315.61,1274.0,272.94,388,5140.5,1478,3347.74,65.11,100.0,44.35
Lot's O' Nuts → Pennsylvania,1315.06,1273.0,260.48,331,4338.55,1216,2993.65,69.05,100.0,44.42
Lot's O' Nuts → Washington,1343.96,1274.0,274.98,269,3492.91,980,2415.91,69.19,100.0,40.49
Lot's O' Nuts → Illinois,1319.93,1274.0,268.39,267,3539.21,995,2452.51,69.35,100.0,43.76
Lot's O' Nuts → Ohio,1334.11,1273.0,260.44,262,3472.7400000000002,974,2400.24,69.05,100.0,41.83
Wicked Choccy's → Pennsylvania,1339.22,1274.0,263.67,227,2804.25,799,1826.99,65.14,100.0,41.14
Wicked Choccy's → Washington,1375.72,1276.0,270.8,221,3023.0,860,1969.6399999999999,65.13,100.0,36.18
Wicked Choccy's → Illinois,1329.13,1274.0,266.26,210,2801.5,798,1825.22,65.12,100.0,42.51
Lot's O' Nuts → Florida,1318.61,1274.0,283.18,209,2640.13,740,1820.73,69.06,100.0,43.94
Wicked Choccy's → Ohio,1313.35,1273.0,267.57,189,2479.75,705,1615.73,65.13,100.0,44.65
Wicked Choccy's → Florida,1305.09,1273.0,250.27,161,2009.25,577,1308.59,65.13,100.0,45.78
Lot's O' Nuts → Michigan,1303.01,1273.0,247.2,147,2103.76,590,1450.86,69.06,100.0,46.06
Lot's O' Nuts → North Carolina,1314.2,1274.0,249.31,143,2045.6100000000001,574,1417.01,69.32,100.0,44.54
Lot's O' Nuts → Arizona,1306.2,1274.0,253.9,111,1468.05,411,1013.15,69.22,100.0,45.63
Lot's O' Nuts → Georgia,1329.56,1274.0,243.44,110,1474.09,415,1027.79,69.58,100.0,42.45
